id,category_id,description
restaurant_management.fault_1,Продукт,"1.1    Блюда готовятся по технологическим картам, технология приготовления соблюдена, используются в работе весы."
restaurant_management.fault_2,Продукт,1.2 Внешний вид блюда в ресторане соответствует изображению в меню.
restaurant_management.fault_3,Продукт,1.3 Вес блюда соответствует заявленному в меню.
restaurant_management.fault_4,Продукт,1.4  Время выдачи блюда соответствует заявленным стандартам.
restaurant_management.fault_5,Продукт,"1.5  Качество сырья и п/ф соответствует нормам - внешний вид, цвет, запах, нарезка."
restaurant_management.fault_6,Продукт,1.6    Просроченные товары отсутствуют.
restaurant_management.fault_7,Продукт,"1.7   Условия хранение сырья и п/ф (порядок в холодильнике, товарное соседство, температура хранения)."
restaurant_management.fault_8,Продукт,1.8    Соблюдение принцип Фи-Фо.
restaurant_management.fault_9,Продукт,1.9    Бланки сроков годности/минимальных заготовок заполнены.
restaurant_management.fault_10,Продукт,1.10    Наличие полного ассортимента сырья и п/ф.
restaurant_management.fault_11,Продукт,"1.11    Работа на опережения (заготовки в полном объёме, внешний вид соответствует) "
restaurant_management.fault_12,Продукт,"1.12    Продукция Gustland - сроки годности соответствуют нормам, отсутствует просроченная продукция, упаковка продукции Gustland целая, неповрежденная."
restaurant_management.fault_13,Продукт,"1.13    Повара соблюдают санитарные нормы, трудовую дисциплину. Внешний вид поваров и их гигиена соответствует стандартам. Маркировочный инвентарь используется надлежащим образом."
restaurant_management.fault_14,Продукт,"1.14    Чистота на кухне (полы, стены, раковины без повреждений/чистые, производственные помещения, посудомоечная, складские помещения; холодильные и морозильные камеры) без повреждений."
restaurant_management.fault_15,Продукт,"1.15   Тепловое и холодильное оборудование работает исправно/чистые/ эксплуатация оборудование (печи, фритюр, frytop, весы, блинница)."
restaurant_management.fault_16,Продукт,1.16          Надлежащее использование и исправность оборудование и инвентаря.  
restaurant_management.fault_17,Бар и десертный бар,"2.1  Десерты, напитки готовятся по технологическим картам, технология приготовления соблюдена, используются в работе весы."
restaurant_management.fault_18,Бар и десертный бар,2.2  Внешний вид напитка и десерта в ресторане/упаковке на доставку соответствует изображению в меню.
restaurant_management.fault_19,Бар и десертный бар,2.3  Вес десерта/напитка соответствует заявленному в меню.
restaurant_management.fault_20,Бар и десертный бар,2.4  Время выдачи десерта/напитка соответствует заявленным стандартам.
restaurant_management.fault_21,Бар и десертный бар,"2.5  Качество сырья и п/ф соответствует нормам - внешний вид, цвет, запах, нарезка."
restaurant_management.fault_22,Бар и десертный бар,2.6  Просроченные товары отсутствуют.
restaurant_management.fault_23,Бар и десертный бар,"2.7  Условия хранение сырья и п/ф (порядок в холодильнике, товарное соседство, температура хранения)."
restaurant_management.fault_24,Бар и десертный бар,2.8  Соблюдение принципа Фи-Фо.
restaurant_management.fault_25,Бар и десертный бар,"2.9  Условия хранение сырья и п/ф (порядок в холодильнике, товарное соседство, температура хранения)."
restaurant_management.fault_26,Бар и десертный бар,2.10          Наличие полного ассортимента сырья и п/ф;
restaurant_management.fault_27,Бар и десертный бар,"2.11          Работа на опережения (заготовки в полном объёме, внешний вид соответствует). "
restaurant_management.fault_28,Бар и десертный бар,"2.12          Бармены, продавцы десертов соблюдают санитарные нормы, трудовую дисциплину. Внешний вид поваров и их гигиена соответствует стандартам. Маркировочный инвентарь используется надлежащим образом."
restaurant_management.fault_29,Бар и десертный бар,"2.13    Чистота в баре (полы, стены, раковины без повреждений/чистые) без повреждений."
restaurant_management.fault_30,Бар и десертный бар,"2.14         Тепловое и холодильное оборудование работает исправно/чистые/ эксплуатация оборудование (холодильник, пивная/винная установка, кофемолка, весы, микроволновая печь)."
restaurant_management.fault_31,Бар и десертный бар,2.15          Надлежащее использование и исправность оборудование и инвентаря.  
restaurant_management.fault_32,Бар и десертный бар,2.16          Чистый и исправный ледогенератор и витрины. Правильная эксплуатация.
restaurant_management.fault_33,Обслуживание (сервис официантов),"3.1  Официанты гостеприимны, улыбчивы, встречают и приветствуют гостя."
restaurant_management.fault_34,Обслуживание (сервис официантов),3.2  Стол за сервирован посудой и приборами до подачи блюд.
restaurant_management.fault_35,Обслуживание (сервис официантов),"3.3  Столы в зале организованны (наличие салфеток, соль, перец, зубочистки)."
restaurant_management.fault_36,Обслуживание (сервис официантов),"3.4  Столы чистые, без крошек и пятен и не шатаются."
restaurant_management.fault_37,Обслуживание (сервис официантов),"3.5  Стулья и диваны чистые, без крошек, без пятен."
restaurant_management.fault_38,Обслуживание (сервис официантов),"3.6  Официанты используют техники продаж: красочно описывают блюда, предлагают дополнительные и сопутствующие позиции из меню."
restaurant_management.fault_39,Обслуживание (сервис официантов),"3.7  Меню чистое, без повреждений, со всеми страницами."
restaurant_management.fault_40,Обслуживание (сервис официантов),"3.8  Официант подаёт меню согласно правилам , либо предлогает использование QR кода."
restaurant_management.fault_41,Обслуживание (сервис официантов),"3.9  С разрешения гостя убирают грязную посуду со столов, сразу уносят на мойку, не складируется на станциях официантов."
restaurant_management.fault_42,Обслуживание (сервис официантов),"3.10          После ухода гостя убирает использованную посуду со стола за 2-5 мин, моет стол и готовит его сразу для следующей посадки."
restaurant_management.fault_43,Обслуживание (сервис официантов),3.11  Время подачи блюд соблюдено (готовые блюда не лежат на раздаточном столе более 3 мин).
restaurant_management.fault_44,Обслуживание (сервис официантов),3.12  Официант подают блюда согласно стандартам качества. Не качественные блюда не подают гостям.
restaurant_management.fault_45,Обслуживание (сервис официантов),3.13  График работы администратора - его работа в зале в часы пик.
restaurant_management.fault_46,Обслуживание (сервис официантов),"3.14  Внешний вид официанта: униформа чистая и выглаженная, бейдж слева, обувь черная и закрытая, волосы собраны, ногти коротки и не яркие."
restaurant_management.fault_47,Обслуживание (сервис официантов),"3.15  Официанты не собираются в группы (более 2 людей), не пользуются мобильным телефонам (на веду у гостей)."
restaurant_management.fault_48,Обслуживание (сервис официантов),3.16  Официанты соблюдают командную работу и помогают друг-другу.
restaurant_management.fault_49,Обслуживание (сервис официантов),"3.17  Официанты соблюдают правила работы с подносом, не играют с подносом, не крутят, не ставит на стол гостя, и не носят его под мышкой. Все блюда и напитки выносят на поднос (за исключения блюд на доске)."
restaurant_management.fault_50,Обслуживание (сервис официантов),"3.18  Позиция официанта в зале: ровная осанка, не скрещивает руки и ноги, не облокачивается, не держит руки в карман и т.д."
restaurant_management.fault_51,Обслуживание (сервис официантов),3.19  Официант обязан знать состав блюд.
restaurant_management.fault_52,Обслуживание (сервис официантов),3.20  Станций официантов организованы и наполнены всем необходимом для работы.
restaurant_management.fault_53,Интерьер,4.1  Чистота входа и прилегающей территории.
restaurant_management.fault_54,Интерьер,"4.2  Чистота террасы: полы, столы, зонты, навесы, кашпо, растения ухоженные, уличная детская площадка."
restaurant_management.fault_55,Интерьер,"4.3  Техническая исправность: световая вывеска, освещение зала /террасы, вентиляция, кондиционирование/отопление, музыка в зале/террасы, ТВ, детская зона, WI-FI, посторонние запахи отсутствуют."
restaurant_management.fault_56,Интерьер,"4.4  Чистота зала: пола, стен, дверей, зеркал, светильников, стеклопакетов."
restaurant_management.fault_57,Интерьер,"4.5  Мебель: столы, стулья, кашпо, кресло, чехлы- чистые. Элементы декора (панно, картины)- чистые и в исправном состоянии."
restaurant_management.fault_58,Интерьер,"4.6  Витрина Andy’s Store организована, чистая, представлен весь ассортимент, присутствует правильные ценники товара."
restaurant_management.fault_59,Интерьер,"4.7  Детская зона- наполнена игрушками и покрытием, чистая, присутствует градусник."
restaurant_management.fault_60,Интерьер,4.8  Надлежащее использование и хранения тех инвентаря и его исправность. Правильное использование моющих и дезинфицирующих средств.
restaurant_management.fault_61,Интерьер,"4.9  Чистота санитарной зоны для гостей чистые, разводы отсутствуют (зеркала, унитазы, раковины, стены, пол, двери)."
restaurant_management.fault_62,Интерьер,"4.10  В сан. узле для гостей имеются в наличии и соответствующего качества (туалетная бумага, мыло)."
restaurant_management.fault_63,Интерьер,"4.11  Сантехника, кнопка слива, смеситель, умывальники, писсуары, унитазы, замки в кабинах санитарного узла для гостей работают исправно, без повреждений."
restaurant_management.fault_64,Интерьер,4.12  Чистота и тех состояние подсобных помещений.
restaurant_management.fault_65,Интерьер,4.13 Отходы отсортированы.
restaurant_management.fault_66,Интерьер,"4.14  Хлорный раствор заготовлен, срок годности соблюдён."
restaurant_management.fault_67,Интерьер,"4.15  Тех персонал в полном комплекте униформы, форма- чистая, поглажена."
restaurant_management.fault_68,Документация,5.1   Наличие и ведения документаций.
restaurant_management.fault_69,Документация,"5.2   Сроки годность и комплектация огнетушителей соблюдены, противопожарные датчики в рабочем состояние."
restaurant_management.fault_70,Документация,"5.3   Тех карты, чек листы и инструкций присутствует в кухне, в баре и десерт баре."
restaurant_management.fault_71,Документация,"5.4   Необходимые медикаменты в аптечке присутствуют, сроки годности соблюдены."
restaurant_management.fault_72,Доставка,6.1  Внешний вид блюда упаковке на доставку соответствует изображению в меню.
restaurant_management.fault_73,Доставка,6.2  Вес блюда соответствует заявленному в меню.
restaurant_management.fault_74,Доставка,6.3  Время выдачи блюда соответствует заявленным стандартам.
restaurant_management.fault_75,Доставка,"6.4  Внешний вид водителей соответствует стандартам (униформа, бейдж, санитарно-гигиенические требования)."
restaurant_management.fault_76,Доставка,6.5  Чистота и состояние сумок.
restaurant_management.fault_77,Доставка,6.6  Операторская организованная и чистая.
restaurant_management.fault_78,Доставка,"7.7  Блюда упакованы в правильной упаковке, и по соседскому стандарту (горячие с горячем, холодное с холодным)."
restaurant_management.fault_79,Доставка,6.8  Плацынты/ пиццы сервированы салфетками.
restaurant_management.fault_80,Доставка,"6.9 Водитель доставляет одновременно не более 2 заказов, соблюдая установленный интервал между заказами."
restaurant_management.fault_81,Информация(Снабжение),7.1 Товар отгружен в полном объеме
restaurant_management.fault_82,Информация(Снабжение),"7.2 Отгруженный товар качественный (соблюдены сроки годности, температурный режим, отсутствует порча и т.п.)"
restaurant_management.fault_83,Информация(Снабжение),"7.3 Тара для перевозки товара чистая, целая"
restaurant_management.fault_84,Информация(Завод),7.4 Товар отгружен в полном объеме
restaurant_management.fault_85,Информация(Завод),"7.5 Отгруженный товар качественный (соблюдены сроки годности, температурный режим, вес указанныйна этикетке, отсутствует порча и т.п.)"
restaurant_management.fault_86,Информация(Завод),"7.6 Тара для перевозки товара чистая, целая"
restaurant_management.fault_87,Информация(Маркетинг),"7.7 Меню основное, акционное есть в полном объеме"
restaurant_management.fault_88,Информация(Маркетинг),"7.8 Внешние рекламные банера целые, красочные, соответствуют действующему меню"
restaurant_management.fault_89,Информация(Техническое состояние оборудования и интериера),"7.9   На кухне/в баре : полы, стены, раковины, производственные помещения, посудомоечная, складские помещения; холодильные и морозильные камеры , нуждаются в ремонте."
restaurant_management.fault_90,Информация(Техническое состояние оборудования и интериера),"7.10   Тепловое и холодильное оборудование , печи, фритюр, frytop, весы, блинница, пивная/винная установка, кофемолка,  микроволновая печь,нуждаются в ремонте/замена."
restaurant_management.fault_91,Информация(Техническое состояние оборудования и интериера),"7.11  Терраса/зал : пол, стены, двери, зеркала, светильники, стеклопакеты, нуждаются в реставрации.."
restaurant_management.fault_92,Информация(Техническое состояние оборудования и интериера),"7.12  Мебель: столы, стулья, кашпо, кресло, чехлы, уличная детская площадка, элементы декора (панно, картины)- нуждаются в реставрации/замена."
restaurant_management.fault_93,Информация(Техническое состояние оборудования и интериера),"7.13  Сантехника, кнопка слива, смеситель, умывальники, писсуары, унитазы, замки в кабинах санитарного узла для гостей - нуждаются в ремонте."